name;date(date_from);time(date_from);date(date_to);time(date_to);granularity;line_name;fw_count;bw_count
xovis-1floor;2023-05-04;00:00:00;2023-05-04;01:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-04;01:00:00;2023-05-04;02:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-04;02:00:00;2023-05-04;03:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-04;03:00:00;2023-05-04;04:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-04;04:00:00;2023-05-04;05:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-04;05:00:00;2023-05-04;06:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-04;06:00:00;2023-05-04;07:00:00;3600;Центральный вход;3;1
xovis-1floor;2023-05-04;07:00:00;2023-05-04;08:00:00;3600;Центральный вход;20;9
xovis-1floor;2023-05-04;08:00:00;2023-05-04;09:00:00;3600;Центральный вход;73;9
xovis-1floor;2023-05-04;09:00:00;2023-05-04;10:00:00;3600;Центральный вход;113;41
xovis-1floor;2023-05-04;10:00:00;2023-05-04;11:00:00;3600;Центральный вход;146;76
xovis-1floor;2023-05-04;11:00:00;2023-05-04;12:00:00;3600;Центральный вход;113;90
xovis-1floor;2023-05-04;12:00:00;2023-05-04;13:00:00;3600;Центральный вход;128;126
xovis-1floor;2023-05-04;13:00:00;2023-05-04;14:00:00;3600;Центральный вход;120;120
xovis-1floor;2023-05-04;14:00:00;2023-05-04;15:00:00;3600;Центральный вход;133;107
xovis-1floor;2023-05-04;15:00:00;2023-05-04;16:00:00;3600;Центральный вход;108;126
xovis-1floor;2023-05-04;16:00:00;2023-05-04;17:00:00;3600;Центральный вход;126;103
xovis-1floor;2023-05-04;17:00:00;2023-05-04;18:00:00;3600;Центральный вход;89;145
xovis-1floor;2023-05-04;18:00:00;2023-05-04;19:00:00;3600;Центральный вход;75;165
xovis-1floor;2023-05-04;19:00:00;2023-05-04;20:00:00;3600;Центральный вход;37;81
xovis-1floor;2023-05-04;20:00:00;2023-05-04;21:00:00;3600;Центральный вход;16;60
xovis-1floor;2023-05-04;21:00:00;2023-05-04;22:00:00;3600;Центральный вход;4;12
